,release_year,imdb_score
0,1953,6.8
1,1954,7.45
2,1956,6.7
3,1958,7.5
4,1959,6.7
5,1960,6.4
6,1961,7.5
7,1962,6.8
8,1963,7.6
9,1964,7.8
10,1966,7.0
11,1967,7.7
12,1968,7.2
13,1969,6.9
14,1971,6.95
15,1972,6.2
16,1973,6.6
17,1974,6.5
18,1975,7.349999999999999
19,1976,6.7
20,1977,7.5
21,1978,4.2
22,1979,7.471428571428571
23,1980,5.65
24,1981,6.050000000000001
25,1982,7.285714285714286
26,1983,6.5
27,1984,7.0
28,1985,8.0
29,1986,6.666666666666667
30,1987,6.840000000000001
31,1988,6.333333333333333
32,1989,6.8999999999999995
33,1990,6.614285714285714
34,1991,5.99
35,1992,6.85
36,1993,6.529411764705882
37,1994,6.33
38,1995,6.2
39,1996,6.442857142857143
40,1997,6.6
41,1998,6.74
42,1999,6.6
43,2000,6.5
44,2001,6.835294117647059
45,2002,6.861538461538462
46,2003,6.809090909090909
47,2004,6.676
48,2005,6.473076923076923
49,2006,6.569444444444445
50,2007,6.702564102564102
51,2008,6.576595744680851
52,2009,6.379069767441861
53,2010,6.7215686274509805
54,2011,6.473529411764706
55,2012,6.425675675675675
56,2013,6.448453608247423
57,2014,6.58611111111111
58,2015,6.252238805970149
59,2016,6.237558685446009
60,2017,6.236243386243387
61,2018,6.2129753914988815
62,2019,6.237526652452026
63,2020,6.062407862407863
64,2021,6.031630170316301
65,2022,5.968888888888889
